Run,Program Version,User,Time Started (UTC),Time Finished (UTC),Minutes Spent,Position,Points,testing question? (8vufenf),"Have you noticed surveillance technologies in your neighborhood that were installed by the government, police, or private businesses (not personal home cameras like Ring or Nest)? (lw3083d)",What is your ZIP code? (7bepp7b),participantID,assignmentID,projectID,startedAt,computerCountry,computerID,device,Which of the following surveillance tools have you heard of or seen in your city? (Select all that apply) (8dl9hmt),"How concerned are you about surveillance technology in public spaces like streets, sidewalks, or public transit? (n15scu9)",How often do you notice surveillance cameras or sensors in your neighborhood or daily routine? (6itkmu),How familiar are you with how automatic license plate reader (ALPR) cameras work? (724al0n),"After being approved by local governments, private companies like Flock Safety install Automatic License Plate Reader (ALPR) cameras in neighborhoods and share data with police. Before today, how aware were you of that fact? (50mnfkf)","In some Bay Area cities, Automatic License Plate Reader (ALPR) cameras store an image of your license plate, vehicle make and model, and location in a searchable database for up to 12 months every time you drive past one. Before today, how aware were you of that fact? (6s6r3ex)","Police can search the Automatic License Plate Reader (ALPR) database for your data without a warrant or approval from any other organization. Before today, how aware were you of that fact? (zke2ete)","Police can legally share your license plate Automatic License Plate Reader (ALPR) data with other local governments/police departments within California at any time without a warrant. Before today, how aware were you of that fact? (skzr4a8)","The image above shows locations and number of Automatic License Plate Reader (ALPR) cameras in the Bay Area reported by residents. Actual locations and counts may vary, but there is likely to be more installed than shown in the image. Before today, how aware were you of the number of ALPR cameras in the Bay Area? (3eg0nl6)",How supportive are you of Automatic License Plate Reader (ALPR) cameras installed by local governments and used by law enforcement? (y7ka0mc),How supportive are you of private individuals or businesses installing Automatic License Plate Reader (ALPR) cameras and sharing the data voluntarily with police? (uktyzgu),Have you ever felt uncomfortable or treated unfairly due to surveillance technology? (5bdjc2c),"veiHow concerned are you that surllance technologies may harm others (e.g., unhoused people, immigrants, protesters), even if they don’t affect you personally? (gvrrsub)",Do you believe surveillance is being used more for public safety or social control? (cfu4j56),Which of the following groups should have access to surveillance data? (Select all that apply) (bgnrn84),Who do you trust to make decisions about how surveillance is used in your city? (Select all that apply) (w02ux9i),How important is it to you that the public has input or oversight before new surveillance technologies are adopted? (ttzmqna),"How likely do you think it is that police would share Automatic License Plate Reader (ALPR) data with federal agencies, even if not legally allowed? (gnnu4ft)",It’s okay for police to track and store the location data of people who haven’t done anything wrong. (nd9oynf),"Surveillance technologies such as ALPRs disproportionately impact marginalized communities (e.g., by race, income, housing status, or immigration status)? (f1j1olu)",Surveillance technologies such as ALPRs increase public safety. (u84m4pd),What should be done about ALPRs in your city? Select all that apply (vwzlz5r),What is your race or ethnicity? (Select all that apply) (d8morv7),How did you find this survey? (yyxwhnl),age,gender,education,yearOfBirth,educationScore,politicalViews,householdIncome,femaleAs1MaleAs0,politicalLiberalness,householdIncomeScore,householdIncomeEstimate,How did surveillance make you feel or impact you? (urjiu1g),How concerned are you about local Automatic License Plate Reader (ALPR) data being shared with federal agencies like ICE or the FBI? (izclv6s),The San Francisco Standard recently reported that the San Francisco and Oakland Police Departments shared Automatic License Plate Reader (ALPR) data with federal agencies like ICE — in violation of state law. How concerned does this make you feel? (dgwct6r)
16286279,38,,2025-08-15 19:36:57,,3.88,7h99xur,0,,Yes,94531,pf81fdaaa,pca570895,pffe2652f,2025/08/15 12:34 PM,United States,32a565f2390b0aba4b21368b3a7b7b9012617e77,smartphone,"Surveillance/security cameras,Automatic License Plate Readers (ALPRs),ShotSpotter or gunshot detection,Speed Cameras",3 = Moderately concerned,3 = Sometimes,3 = Somewhat familiar,3 = Somewhat aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,3 = Neutral / Not sure,4 = Somewhat support,No,2 = Slightly concerned,2 = Mostly for public safety,Police,"Local elected officials,Community members",4 = Very important,5 = Very likely,2 = Somewhat disagree,5 = Strongly agree,4 = Somewhat agree,"Require more safeguards (e.g., limits on use, access, or retention),Require more transparency,Require public approval","White,Another race or ethnicity",Hot cash,37,female,completedTradeTechicalVocationalTraing,1988,3,Liberal,"$40,000 to $59,999",1,1,3,50000,,3 = Moderately concerned,2 = Slightly concerned
16286573,38,,2025-08-15 20:28:20,,22.17,7h99xur,0,,Not sure,94089,pc592b7b6,pcc1d998f,pffe2652f,2025/08/15 1:26 PM,United States,6fbd3834bc2c510e1268da8e8438a5a3b4f9e4e7,desktop,"Surveillance/security cameras,Drones,Speed Cameras",3 = Moderately concerned,2 = Rarely,1 = Not at all familiar,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,5 = Strongly support,5 = Strongly support,Not sure,5 = Extremely concerned,3 = Equally both,"Police,Local government,Federal Government","Local elected officials,Community organizations,Community members",5 = Absolutely essential,5 = Very likely,1 = Strongly disagree,5 = Strongly agree,5 = Strongly agree,"Require more safeguards (e.g., limits on use, access, or retention),Require public approval",Asian or Pacific Islander,https://freecash.com/surveys,20,male,completedOnlyHighSchoolOrTheEquivalent,2005,2,Moderate,"$85,000 to $114,999",0,0,5,100000,,5 = Extremely concerned,4 = Very concerned
16286594,38,,2025-08-15 20:33:20,,4.93,7h99xur,0,,Not sure,94544,pbae6cfda,pb10f9c51,pffe2652f,2025/08/15 1:29 PM,United States,a32d7bac28ffbadc5d9d8b08aff47ccaad307b83,smartphone,"Surveillance/security cameras,Speed Cameras",1 = Not at all concerned,2 = Rarely,1 = Not at all familiar,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Strongly oppose,1 = Strongly oppose,Not sure,5 = Extremely concerned,3 = Equally both,No one — it shouldn’t be collected,Community members,5 = Absolutely essential,5 = Very likely,1 = Strongly disagree,5 = Strongly agree,1 = Strongly disagree,"Ban them,Require public approval,Keep things as they are",Asian or Pacific Islander,Friend,41,male,completedOnlyHighSchoolOrTheEquivalent,1984,2,Moderate,"$60,000 to $84,999",0,0,4,72500,,5 = Extremely concerned,5 = Extremely concerned
16286792,38,,2025-08-15 21:09:11,,5.7,7h99xur,0,,Yes,95405,pbcdfddcd,pb199e0b0,pffe2652f,2025/08/15 2:06 PM,United States,b18364521fe8871800eb5e49ba292b2c8ef6e91b,smartphone,Speed Cameras,3 = Moderately concerned,3 = Sometimes,4 = Very familiar,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,2 = Somewhat oppose,2 = Somewhat oppose,No,1 = Not concerned at all,3 = Equally both,Police,"Police department,Community members",4 = Very important,4 = Likely,4 = Somewhat agree,4 = Somewhat agree,4 = Somewhat agree,"Require more safeguards (e.g., limits on use, access, or retention),Require more transparency,Require public approval","Black or African American,White,Another race or ethnicity",Survey,31,female,completedAssociateDegreeOnly,1994,4,Very conservative,"$85,000 to $114,999",1,-2,5,100000,,1 = Not at all concerned,1 = Not at all concerned
16287645,38,,2025-08-15 23:12:34,,4.4,7h99xur,0,,Yes,94609,pc9b6ef11,pf2193a32,pffe2652f,2025/08/15 4:10 PM,United States,7b1072fd68abd79f21346fde11a25a6e9200d342,smartphone,"Surveillance/security cameras,Facial recognition technology,ShotSpotter or gunshot detection,Speed Cameras",1 = Not at all concerned,5 = All the time,3 = Somewhat familiar,3 = Somewhat aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,4 = Very aware,3 = Neutral / Not sure,1 = Strongly oppose,No,2 = Slightly concerned,5 = Entirely for social control,"Police,Federal Government",Community members,5 = Absolutely essential,5 = Very likely,1 = Strongly disagree,1 = Strongly disagree,3 = Neutral,"Reduce use,Require more safeguards (e.g., limits on use, access, or retention),Require more transparency,Require public approval",Black or African American,Eureka,30,female,completedOnlyHighSchoolOrTheEquivalent,1995,2,Very conservative,"$60,000 to $84,999",1,-2,4,72500,,5 = Extremely concerned,5 = Extremely concerned
16287914,38,,2025-08-15 23:58:53,,2.98,7h99xur,0,,Yes,94010,pc14432ae,pf9fe88e6,pffe2652f,2025/08/15 4:57 PM,United States,e13e9e72a6d5a8715d751557ef16e9b05b671f70,smartphone,"Surveillance/security cameras,Automatic License Plate Readers (ALPRs),Speed Cameras",1 = Not at all concerned,4 = Often,2 = Slightly familiar,2 = Slightly aware,2 = Slightly aware,2 = Slightly aware,2 = Slightly aware,2 = Slightly aware,4 = Somewhat support,4 = Somewhat support,No,2 = Slightly concerned,2 = Mostly for public safety,"Police,Local government,Federal Government","Local elected officials,Police department",2 = Slightly important,3 = Unsure,3 = Neutral,4 = Somewhat agree,4 = Somewhat agree,"Require more safeguards (e.g., limits on use, access, or retention),Require more transparency,Require public approval",Asian or Pacific Islander,Attapoll,29,female,completedBachelorsDegree,1996,5,Moderate,"$200,000 or more",1,0,8,225000,,3 = Moderately concerned,3 = Moderately concerned
16288055,38,,2025-08-16 0:24:57,,7.75,7h99xur,0,,No,94566,pcd5e4371,pf464387f,pffe2652f,2025/08/15 5:20 PM,United States,0fc7d55aee39415f9006993694ba8541dbd49853,desktop,None of the above,3 = Moderately concerned,1 = Never,1 = Not at all familiar,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,3 = Neutral / Not sure,2 = Somewhat oppose,No,3 = Moderately concerned,3 = Equally both,Police,Police department,4 = Very important,3 = Unsure,2 = Somewhat disagree,4 = Somewhat agree,3 = Neutral,"Require more safeguards (e.g., limits on use, access, or retention),Require more transparency,Require public approval",Asian or Pacific Islander,Positly,65,female,completedBachelorsDegree,1960,5,Liberal,"$40,000 to $59,999",1,1,3,50000,,4 = Very concerned,5 = Extremely concerned
16288128,38,,2025-08-16 0:39:36,,15.32,7h99xur,0,,No,94536,pd929790d,pd8f2ce55,pffe2652f,2025/08/15 5:37 PM,United States,9d7b04723bc9f392c832ace85f6d03e29e58dd98,smartphone,"Surveillance/security cameras,Speed Cameras",2 = Slightly concerned,1 = Never,3 = Somewhat familiar,2 = Slightly aware,4 = Very aware,3 = Somewhat aware,3 = Somewhat aware,2 = Slightly aware,5 = Strongly support,4 = Somewhat support,No,5 = Extremely concerned,2 = Mostly for public safety,"Police,Local government",Police department,2 = Slightly important,3 = Unsure,1 = Strongly disagree,2 = Somewhat disagree,3 = Neutral,Keep things as they are,Asian or Pacific Islander,Instagram,18,female,completedOnlyHighSchoolOrTheEquivalent,2007,2,Liberal,"$25,000 to $39,999",1,1,2,32500,,4 = Very concerned,2 = Slightly concerned
16288616,38,,2025-08-16 2:04:14,,1.5,7h99xur,0,,Yes,94107,pdb6bc03d,pcc187398,pffe2652f,2025/08/15 7:02 PM,United States,db6065b78e7cba1fd924c6a40dd8826071189394,smartphone,"Surveillance/security cameras,Automatic License Plate Readers (ALPRs),Drones,Facial recognition technology,ShotSpotter or gunshot detection,Speed Cameras",2 = Slightly concerned,3 = Sometimes,3 = Somewhat familiar,3 = Somewhat aware,2 = Slightly aware,4 = Very aware,2 = Slightly aware,3 = Somewhat aware,3 = Neutral / Not sure,2 = Somewhat oppose,Not sure,2 = Slightly concerned,4 = Mostly for social control,Police,Police department,2 = Slightly important,2 = Unlikely,3 = Neutral,2 = Somewhat disagree,5 = Strongly agree,"Require more safeguards (e.g., limits on use, access, or retention),Require more transparency",Asian or Pacific Islander,Friend,27,female,completedMastersDegree,1998,6,Liberal,"$85,000 to $114,999",1,1,5,100000,,4 = Very concerned,3 = Moderately concerned
16289012,38,,2025-08-16 3:19:47,,4.53,7h99xur,0,,No,94520,pd67e9c9e,pfce3fe5e,pffe2652f,2025/08/15 8:17 PM,United States,c8e7a6434c30a109bdde8d9fd0fc051111c1de32,desktop,"Surveillance/security cameras,Facial recognition technology,Speed Cameras",2 = Slightly concerned,4 = Often,3 = Somewhat familiar,5 = Fully aware,5 = Fully aware,5 = Fully aware,5 = Fully aware,4 = Very aware,5 = Strongly support,5 = Strongly support,Yes,1 = Not concerned at all,3 = Equally both,"Police,Local government,Private companies,Federal Government","Community organizations,Community members",5 = Absolutely essential,5 = Very likely,1 = Strongly disagree,1 = Strongly disagree,2 = Somewhat disagree,"Require more safeguards (e.g., limits on use, access, or retention),Require more transparency,Require public approval,Increase use",Middle Eastern or North African,Positly,49,male,completedProfessionalDegree,1976,7,Conservative,"$85,000 to $114,999",0,-1,5,100000,Surveillance cameras were my friend as they were used to disprove the allegations against me.,1 = Not at all concerned,1 = Not at all concerned
16289514,38,,2025-08-16 5:14:57,,4.25,7h99xur,0,,No,94610,pa0f03206,pfd562874,pffe2652f,2025/08/15 10:10 PM,United States,6f621e944e1c646d4dfe61b01227c57d93661e9e,desktop,"Surveillance/security cameras,Automatic License Plate Readers (ALPRs),ShotSpotter or gunshot detection,Speed Cameras",1 = Not at all concerned,1 = Never,2 = Slightly familiar,1 = Not at all aware,2 = Slightly aware,2 = Slightly aware,2 = Slightly aware,1 = Not at all aware,5 = Strongly support,5 = Strongly support,No,1 = Not concerned at all,1 = Entirely for public safety,"Police,Local government","Local elected officials,Police department,Community organizations,Community members",5 = Absolutely essential,5 = Very likely,1 = Strongly disagree,4 = Somewhat agree,1 = Strongly disagree,Increase use,Asian or Pacific Islander,survey junkie,49,male,completedBachelorsDegree,1976,5,Liberal,"$25,000 to $39,999",0,1,2,32500,,2 = Slightly concerned,2 = Slightly concerned
16289731,38,,2025-08-16 6:14:09,,6.08,7h99xur,0,,Yes,94539,pd539c97d,pcd0ba19e,pffe2652f,2025/08/15 11:12 PM,United States,096b788aa475868431d8feefd27c4b99b4a7331d,smartphone,Surveillance/security cameras,3 = Moderately concerned,5 = All the time,1 = Not at all familiar,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,3 = Neutral / Not sure,3 = Neutral / Not sure,No,5 = Extremely concerned,3 = Equally both,"Police,Local government","Local elected officials,Police department,Community members",3 = Moderately important,4 = Likely,1 = Strongly disagree,1 = Strongly disagree,1 = Strongly disagree,"Require more safeguards (e.g., limits on use, access, or retention),Require more transparency,Require public approval",Asian or Pacific Islander,Instagram,21,male,completedOnlyHighSchoolOrTheEquivalent,2004,2,Moderate,"$25,000 to $39,999",0,0,2,32500,,2 = Slightly concerned,4 = Very concerned
16290063,38,,2025-08-16 7:57:36,,4.88,7h99xur,0,,No,95135,pb43e88f1,pfd539ce9,pffe2652f,2025/08/16 12:55 AM,United States,ded3e6ac1d37b0c34433cea083e120e3c7305fb3,smartphone,"Surveillance/security cameras,Automatic License Plate Readers (ALPRs),Drones,Facial recognition technology,Speed Cameras",1 = Not at all concerned,1 = Never,4 = Very familiar,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,2 = Slightly aware,2 = Somewhat oppose,2 = Somewhat oppose,No,4 = Very concerned,4 = Mostly for social control,No one — it shouldn’t be collected,Community organizations,5 = Absolutely essential,5 = Very likely,1 = Strongly disagree,5 = Strongly agree,2 = Somewhat disagree,"Require more safeguards (e.g., limits on use, access, or retention),Require more transparency,Require public approval",Asian or Pacific Islander,SurveyJunkie,41,female,completedBachelorsDegree,1984,5,Liberal,"$200,000 or more",1,1,8,225000,,4 = Very concerned,5 = Extremely concerned
16290703,38,,2025-08-16 11:52:33,,7.07,7h99xur,0,,Yes,95620,pb9926364,pc23cda22,pffe2652f,2025/08/16 4:48 AM,United States,fccc455dc0be1d1a396fcd7b8de6fb45f6c70f06,smartphone,"Surveillance/security cameras,Automatic License Plate Readers (ALPRs),Drones,Facial recognition technology",5 = Extremely concerned,5 = All the time,5 = Extremely familiar,5 = Fully aware,3 = Somewhat aware,3 = Somewhat aware,3 = Somewhat aware,1 = Not at all aware,1 = Strongly oppose,1 = Strongly oppose,Yes,4 = Very concerned,4 = Mostly for social control,"Police,No one — it shouldn’t be collected",Community organizations,4 = Very important,4 = Likely,5 = Strongly agree,4 = Somewhat agree,3 = Neutral,"Ban them,Reduce use",Hispanic or Latino,Freecash,45,male,completedOnlyHighSchoolOrTheEquivalent,1980,2,Liberal,"$40,000 to $59,999",0,1,3,50000,Police abusing their limits,5 = Extremely concerned,5 = Extremely concerned
16291465,38,,2025-08-16 15:10:00,,1.88,7h99xur,0,,Yes,95132,pad3a9f7f,pf424ceca,pffe2652f,2025/08/16 8:08 AM,United States,c9fcc106ec1473db644bc67a4eefad063adad5f9,smartphone,Surveillance/security cameras,2 = Slightly concerned,3 = Sometimes,3 = Somewhat familiar,3 = Somewhat aware,3 = Somewhat aware,5 = Fully aware,3 = Somewhat aware,2 = Slightly aware,2 = Somewhat oppose,2 = Somewhat oppose,No,3 = Moderately concerned,3 = Equally both,Police,Community members,3 = Moderately important,3 = Unsure,3 = Neutral,1 = Strongly disagree,4 = Somewhat agree,"Reduce use,Require more transparency,Require public approval","Asian or Pacific Islander,White",Survey junkie,29,female,completedBachelorsDegree,1996,5,Very liberal,"$85,000 to $114,999",1,2,5,100000,,2 = Slightly concerned,4 = Very concerned
16291664,38,,2025-08-16 16:05:07,,2.23,7h99xur,0,,Yes,94108,pa57929cc,pc02a0c86,pffe2652f,2025/08/16 9:02 AM,United States,0a117fb60ab953d307bc74895e3bf8f4c0b79698,smartphone,"Surveillance/security cameras,Automatic License Plate Readers (ALPRs)",3 = Moderately concerned,4 = Often,3 = Somewhat familiar,2 = Slightly aware,3 = Somewhat aware,2 = Slightly aware,3 = Somewhat aware,2 = Slightly aware,3 = Neutral / Not sure,3 = Neutral / Not sure,No,3 = Moderately concerned,3 = Equally both,"Police,Local government,Federal Government","Police department,Community organizations",3 = Moderately important,3 = Unsure,3 = Neutral,3 = Neutral,3 = Neutral,"Require more safeguards (e.g., limits on use, access, or retention),Require more transparency",Asian or Pacific Islander,Top Survey,21,female,completedTradeTechicalVocationalTraing,2004,3,Moderate,"$40,000 to $59,999",1,0,3,50000,,3 = Moderately concerned,4 = Very concerned
16291935,38,,2025-08-16 16:56:44,,15.82,7h99xur,0,,No,95206,pd740ce0b,pab3cc84a,pffe2652f,2025/08/16 9:50 AM,United States,b3f641dd0e3ec7bb8a8fcc1ff1836b2c1a5b297a,smartphone,"Surveillance/security cameras,Drones,Facial recognition technology,Speed Cameras",1 = Not at all concerned,2 = Rarely,1 = Not at all familiar,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,5 = Strongly support,5 = Strongly support,Yes,1 = Not concerned at all,3 = Equally both,"Police,Local government","Local elected officials,Community organizations,Community members",5 = Absolutely essential,5 = Very likely,1 = Strongly disagree,4 = Somewhat agree,4 = Somewhat agree,"Require more safeguards (e.g., limits on use, access, or retention),Require more transparency","Black or African American,Hispanic or Latino,Native American or Indigenous,White",Five surveys,54,female,completedOnlyHighSchoolOrTheEquivalent,1971,2,Liberal,"$40,000 to $59,999",1,1,3,50000,"Honestly I was baffled at first, but then they sent me the picture of who was though to be me and I sent my picture to them.a family member borrowed my car,. I was told they were stealing, and cought them on camera. I was really upset,but not at the police officer I was upset at my family member.",1 = Not at all concerned,1 = Not at all concerned
16291965,38,,2025-08-16 17:04:14,,4.42,7h99xur,0,,No,94704,pd53f119b,pa382db41,pffe2652f,2025/08/16 10:00 AM,United States,7a9e7ce9386aac2c1f3096bdf5230657db1017f4,,"Surveillance/security cameras,Speed Cameras",2 = Slightly concerned,1 = Never,2 = Slightly familiar,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,3 = Neutral / Not sure,4 = Somewhat support,No,3 = Moderately concerned,3 = Equally both,"Police,Local government,Federal Government","Local elected officials,Community members",5 = Absolutely essential,2 = Unlikely,2 = Somewhat disagree,3 = Neutral,4 = Somewhat agree,"Require more safeguards (e.g., limits on use, access, or retention),Require more transparency,Require public approval",Asian or Pacific Islander,Positly,23,female,completedBachelorsDegree,2002,5,Liberal,"$10,000 to $24,999",1,1,1,17500,,3 = Moderately concerned,5 = Extremely concerned
16291980,38,,2025-08-16 17:05:50,,1.6,7h99xur,0,,No,94561,pd4aecd06,pd7f60a38,pffe2652f,2025/08/16 10:04 AM,United States,61b3daa02dcaacdcf4df2faf114b65c49e3ebb00,smartphone,None of the above,3 = Moderately concerned,3 = Sometimes,3 = Somewhat familiar,3 = Somewhat aware,3 = Somewhat aware,3 = Somewhat aware,3 = Somewhat aware,3 = Somewhat aware,2 = Somewhat oppose,3 = Neutral / Not sure,No,3 = Moderately concerned,3 = Equally both,No one — it shouldn’t be collected,Local elected officials,3 = Moderately important,3 = Unsure,3 = Neutral,3 = Neutral,3 = Neutral,Reduce use,Another race or ethnicity,Instagram,26,male,completedTradeTechicalVocationalTraing,1999,3,Moderate,"Less than $9,999",0,0,0,4500,,3 = Moderately concerned,3 = Moderately concerned
16292160,38,,2025-08-16 17:47:11,,4.03,7h99xur,0,,No,94501,pd10551eb,pf573780b,pffe2652f,2025/08/16 10:43 AM,United States,f42d491f19ff73ea536d4f3c3d7c076c1fdcba72,smartphone,"Surveillance/security cameras,Automatic License Plate Readers (ALPRs),Speed Cameras",2 = Slightly concerned,4 = Often,2 = Slightly familiar,2 = Slightly aware,2 = Slightly aware,4 = Very aware,4 = Very aware,2 = Slightly aware,3 = Neutral / Not sure,2 = Somewhat oppose,No,1 = Not concerned at all,2 = Mostly for public safety,"Police,Federal Government","Local elected officials,Police department",4 = Very important,4 = Likely,2 = Somewhat disagree,2 = Somewhat disagree,4 = Somewhat agree,"Require more safeguards (e.g., limits on use, access, or retention)",Asian or Pacific Islander,Instagram,36,male,completedOnlyHighSchoolOrTheEquivalent,1989,2,Moderate,"$85,000 to $114,999",0,0,5,100000,,3 = Moderately concerned,4 = Very concerned
16292574,38,,2025-08-16 19:14:06,,0.52,vwzlz5r,0,,Yes,,pc91612dd,pfa8ab73e,pffe2652f,2025/08/16 12:12 PM,United States,c81ed049ec3ea5181760d352f06e7a28314836ae,smartphone,Drones,3 = Moderately concerned,3 = Sometimes,3 = Somewhat familiar,1 = Not at all aware,2 = Slightly aware,3 = Somewhat aware,2 = Slightly aware,3 = Somewhat aware,4 = Somewhat support,3 = Neutral / Not sure,No,3 = Moderately concerned,4 = Mostly for social control,Private companies,Community organizations,3 = Moderately important,3 = Unsure,3 = Neutral,3 = Neutral,3 = Neutral,,,,46,male,noSchoolingAtAllCompleted,1979,0,Conservative,"$10,000 to $24,999",0,-1,1,17500,,4 = Very concerned,4 = Very concerned
16292755,38,,2025-08-16 19:50:03,,2.15,7h99xur,0,,No,95452,pfe288789,pdcb388c1,pffe2652f,2025/08/16 12:48 PM,United States,781de456122fe1bee4393888137de1208feea524,smartphone,None of the above,2 = Slightly concerned,1 = Never,1 = Not at all familiar,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,3 = Neutral / Not sure,3 = Neutral / Not sure,No,1 = Not concerned at all,2 = Mostly for public safety,Police,Police department,3 = Moderately important,4 = Likely,3 = Neutral,1 = Strongly disagree,4 = Somewhat agree,Keep things as they are,Prefer not to say,Survey pop,71,male,completedTradeTechicalVocationalTraing,1954,3,Conservative,"$60,000 to $84,999",0,-1,4,72500,,1 = Not at all concerned,1 = Not at all concerned
16293249,38,,2025-08-16 21:26:54,,5.25,7h99xur,0,,No,95023,pc3800798,pa9110230,pffe2652f,2025/08/16 2:23 PM,United States,ce31f7f5c4e5185162a62d2ddf9babd91d0aaa7c,smartphone,"Surveillance/security cameras,Speed Cameras",3 = Moderately concerned,2 = Rarely,3 = Somewhat familiar,2 = Slightly aware,2 = Slightly aware,1 = Not at all aware,1 = Not at all aware,2 = Slightly aware,2 = Somewhat oppose,3 = Neutral / Not sure,Yes,2 = Slightly concerned,3 = Equally both,No one — it shouldn’t be collected,"Local elected officials,Community organizations,Community members",4 = Very important,4 = Likely,1 = Strongly disagree,4 = Somewhat agree,2 = Somewhat disagree,"Reduce use,Require more safeguards (e.g., limits on use, access, or retention),Require more transparency,Require public approval","Black or African American,White",Positly,33,male,completedOnlyHighSchoolOrTheEquivalent,1992,2,Liberal,"$150,000 to $199,999",0,1,7,175000,I don't like the idea of being watched constantly or having information shared with my consent.,3 = Moderately concerned,4 = Very concerned
16293259,38,,2025-08-16 21:28:40,,6.63,7h99xur,0,,Yes,94541,pfc0bea9b,pbd5b8d24,pffe2652f,2025/08/16 2:24 PM,United States,e79a6d00a418f4e8513e9a3f521556ff3b68517e,desktop,"Automatic License Plate Readers (ALPRs),Speed Cameras",1 = Not at all concerned,4 = Often,2 = Slightly familiar,2 = Slightly aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,3 = Neutral / Not sure,1 = Strongly oppose,No,2 = Slightly concerned,3 = Equally both,No one — it shouldn’t be collected,Local elected officials,5 = Absolutely essential,5 = Very likely,3 = Neutral,5 = Strongly agree,3 = Neutral,"Require more safeguards (e.g., limits on use, access, or retention)",Asian or Pacific Islander,Branded survey,74,female,completedMastersDegree,1951,6,Moderate,"$60,000 to $84,999",1,0,4,72500,,5 = Extremely concerned,5 = Extremely concerned
16293274,38,,2025-08-16 21:31:00,,7.12,7h99xur,0,,No,95060,pfd34df26,pdd7a8857,pffe2652f,2025/08/16 2:25 PM,United States,c77756420f931999aff7a123617da6d877425baf,smartphone,"Surveillance/security cameras,Speed Cameras",3 = Moderately concerned,5 = All the time,1 = Not at all familiar,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,3 = Neutral / Not sure,1 = Strongly oppose,Yes,3 = Moderately concerned,3 = Equally both,Police,None,1 = Not important at all,5 = Very likely,1 = Strongly disagree,3 = Neutral,1 = Strongly disagree,"Require more safeguards (e.g., limits on use, access, or retention)",Another race or ethnicity,App,42,female,completedOnlyHighSchoolOrTheEquivalent,1983,2,Conservative,"$200,000 or more",1,-1,8,225000,Violated and embarrassed,4 = Very concerned,2 = Slightly concerned
16293333,38,,2025-08-16 21:40:56,,3.63,7h99xur,0,,No,94040,pcc51082c,pc9754565,pffe2652f,2025/08/16 2:38 PM,United States,7af987f03b55bd7c15880a97ead5d13a541ffc40,smartphone,None of the above,1 = Not at all concerned,1 = Never,1 = Not at all familiar,2 = Slightly aware,2 = Slightly aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Strongly oppose,1 = Strongly oppose,Not sure,2 = Slightly concerned,5 = Entirely for social control,Police,Community members,3 = Moderately important,1 = Very unlikely,2 = Somewhat disagree,5 = Strongly agree,3 = Neutral,Require public approval,Prefer not to say,Friend,54,female,completedBachelorsDegree,1971,5,Liberal,"$115,000 to $149,999",1,1,6,132500,,3 = Moderately concerned,2 = Slightly concerned
16293377,38,,2025-08-16 21:49:48,,6.35,7h99xur,0,,Yes,94501,pc3d18acf,pd72ea0b0,pffe2652f,2025/08/16 2:45 PM,United States,ca20d91efeba097bc91285c91b1925d268394e03,desktop,"Surveillance/security cameras,Automatic License Plate Readers (ALPRs),Facial recognition technology,Speed Cameras",1 = Not at all concerned,3 = Sometimes,3 = Somewhat familiar,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,3 = Neutral / Not sure,1 = Strongly oppose,No,1 = Not concerned at all,1 = Entirely for public safety,Police,Police department,2 = Slightly important,4 = Likely,1 = Strongly disagree,1 = Strongly disagree,5 = Strongly agree,"Require more safeguards (e.g., limits on use, access, or retention)",Middle Eastern or North African,through a survey site,63,female,completedBachelorsDegree,1962,5,Conservative,"$150,000 to $199,999",1,-1,7,175000,,1 = Not at all concerned,1 = Not at all concerned
